article_id,title_clean,framing_label,media_name,media_group,event_type,date
f6a87585af0c,작년 한국 해외 역직구 건수 36% 늘어,optimistic,연합뉴스,통신사/방송,수출입동향,2019-02-25
d95423c1aba7,정부가 여는 해외취업설명회에도 일본 뺐다,neutral,중앙일보,보수,고용동향,2019-08-20
d1d043d37673,"""중국, 경기 수축 국면 진입할 가능성…글로벌 경기둔화 우려""",pessimistic,연합뉴스,통신사/방송,경기침체,2019-03-03
2d6394817780,미 가계부채 15년 만에 가장 빨리 늘어,pessimistic,서울경제,경제지,가계부채,2022-11-16
c51916e2fcc0,"미국 증시, 잇단 금리인상 지지 발언에 하락 마감…다우 0.18%↓",pessimistic,한국경제,경제지,기준금리,2016-08-26
b7f880f70ddd,7월 수출 6.2%↑…휴대폰 28개월 만에 증가세로 전환,optimistic,한겨레,진보,수출입동향,2018-08-01
5d473a939b81,성장·물가 연말 갈수록 둔화···긴축 신호 약해진 한은,pessimistic,서울경제,경제지,물가_인상,2017-08-28
ae23680d7c36,멀티플렉스 '꼼수 인상'에 평균 관람료 8천 원대…역대 최고,neutral,SBS,통신사/방송,소비자물가,2016-09-02
e7b4f5b5c418,美 3월 금리인상 부각에 힘잃는 韓 금리인하 카드,pessimistic,연합뉴스,통신사/방송,가계부채,2017-03-04
0e6ce69fe964,"뉴욕증시, 9월 금리 향방 결정할 고용·물가지표 발표",neutral,한국경제,경제지,고용동향,2016-08-28
14d29d0894f7,"'고용연장' 부작용 뻔한데···文, 총선 두달전 불쑥 꺼내",neutral,서울경제,경제지,고용동향,2020-02-11
e851d1a48ebd,"美연준 인사들, '물가안정 의지' 지원사격…9월 금리엔 말 아껴",neutral,연합뉴스,통신사/방송,기준금리,2022-08-31
4ce659026f8d,유로존 8월 인플레 2.1%↑…9월 금리 동결 확실시,neutral,한국경제,경제지,기준금리,2025-09-02
1524bd172a2d,"래커 美연준은행장 ""현재 기준금리 낮아…인상 늦을수록 위험""",alarmist,연합뉴스,통신사/방송,고용동향,2016-09-03
2f84e12f2ede,"中 갈륨·게르마늄 수출, 통제 앞두고 7월 22% 급증",neutral,연합뉴스,통신사/방송,반도체_수출,2023-09-01
f4ce13c1ec71,세계 경제 성장률 전망치 줄하향…신종 코로나 여파,pessimistic,SBS Biz,경제지,GDP_성장률,2020-02-09
3a248db35083,"국제금값, 관세 불확실성·안전자산 선호에 연일 사상 최고치",optimistic,연합뉴스,통신사/방송,국채_금리,2025-09-03
394a44cc5ec0,"직장인 37% 캥거루족…""어쩔 수 없다"" vs ""도전정신 부족""",comparative,연합뉴스,통신사/방송,부동산가격,2018-03-02
35f013f49b66,"4월 고용동향, 취업자 47.6만명 감소…정부 대응책은?",pessimistic,SBS Biz,경제지,고용동향,2020-05-13
a327a8cbdd4f,"OECD ""가파르게 느는 가계부채, 한국인 삶의 질 위협""",alarmist,SBS,통신사/방송,가계부채,2018-01-08
91b6497df657,"뉴욕증시, 미 금리 인상 경계 속 소폭 상승 출발",optimistic,연합뉴스,통신사/방송,물가_인상,2016-08-29
3fec351df724,산업대출 1천조 첫 돌파…1분기 부동산업 대출 4.8조↑,pessimistic,연합뉴스,통신사/방송,부동산_대출,2017-05-29
932224eff73d,"내년도 최저임금 9천160원 확정, 내년 1월 1일부터 적용",neutral,연합뉴스,통신사/방송,최저임금,2021-08-05
c3238ec5d543,"이주열 ""통화완화기조 유지…물가 상승압력 커질 수도""",neutral,한국경제,경제지,물가_인상,2021-02-25
6b21dc6205c4,"“개업보다 폐업이 더 많아”…끝없는 침체 공인중개사, 지난달 폐업 941명",pessimistic,매일경제,경제지,경기침체,2025-08-24
d012a3c27ad7,올해 기계산업 전망 '흐림'…생산·수출 모두 감소 예상,pessimistic,연합뉴스,통신사/방송,반도체_수출,2025-02-27
3240f627fb06,내년 NY·NJ 최저임금 또 오른다,neutral,미주중앙일보,기타,최저임금,
14debea995e2,투기지역 6억이하 아파트 LTV·DTI 40% 적용,neutral,매일경제,경제지,부동산_대출,2017-08-22
3a6b4b0ee73e,"서울우유, 흰우유 출고가 3% 인상",neutral,한국경제TV,경제지,물가_인상,2023-08-29
93be123f14ac,美온라인 대출 약진에 …'모기지 1위' 웰스파고 사업 축소,pessimistic,매일경제,경제지,부동산_대출,2023-01-26
f3eb05972683,커피·소주에 이어 포장김치 가격도 7% 인상,neutral,연합뉴스,통신사/방송,물가_인상,2022-02-25
18e9859fc0b6,"원/달러 환율 강보합 마감…1,107.6원",neutral,연합뉴스,통신사/방송,환율_달러,2021-02-18
8338cedc7c0d,급격한 최저임금 인상 '직격탄'…농가 경영여건 2년 연속 나빠져,pessimistic,한국경제,경제지,최저임금,2020-01-30
8c1a680dd2e2,마포·서대문·종로 새 아파트 사상 최고가…봄 이사철 실수요자 행진,optimistic,한국경제,경제지,부동산가격,2017-03-02
7be7a294e984,타겟 이어 월마트까지 휘청…“관세가 물가 영향”,alarmist,매일경제,경제지,물가_인상,2025-08-22
339792163832,1분기 산업대출 18조↑…부동산 대출이 43% 밀어 올렸다,pessimistic,연합뉴스,통신사/방송,부동산_대출,2018-05-30
9e1cc7eb46ac,美 가계부채 12조6천억 달러…글로벌금융위기 수준 '육박',alarmist,연합뉴스,통신사/방송,가계부채,2017-02-18
f7872fb30d40,"카카오뱅크, 가계대출 금리 최대 0.30%p 인하",optimistic,연합뉴스,통신사/방송,기준금리,2025-09-01
3e92ec99ad7c,"고용과 물가 안정, 두 마리 토끼 잡을 수 없을까",neutral,한국경제,경제지,물가_인상,2026-02-26
22b6e03baf0b,"트럼프 진영 크리스티, 최저임금 15달러 거부…""너무 급격""",neutral,연합뉴스,통신사/방송,최저임금,2016-09-02
46d82a31a6d6,‘수출의 힘’…경상수지 80개월 연속 흑자,optimistic,SBS Biz,경제지,경상수지,2018-12-06
ea62e9f0b267,"연속 '빅스텝' 부담됐나?…한은, 경기침체 우려에 '베이비스텝'",neutral,SBS Biz,경제지,경기침체,2022-08-25
e1fe056083b2,"반도체 수출 여전히 탄탄…5월 경상수지 흑자, 8개월 만에 최대(종합)",optimistic,연합뉴스,통신사/방송,경상수지,2018-07-05
e2b3d7ac60f2,서울 택시요금 오른다…지방선거 후 15∼25% 인상 유력,neutral,연합뉴스,통신사/방송,물가_인상,2018-02-26
edbf578ef526,"코스피 하락, 원/달러 환율은 10.9원 급등 출발",pessimistic,연합뉴스,통신사/방송,환율_달러,2026-03-06
2ee02e0b8178,"한국노총, 올해 임금 8.3% 인상 요구",neutral,한국경제TV,경제지,물가_인상,2024-02-20
c3ca5b634a4c,"보스틱 ""3월 0.25%포인트 인상 지지""",neutral,한국경제,경제지,물가_인상,2023-03-03
ceeb206a6152,"코스피, 나흘째 상승…美 증시 폭등·韓 금리인하 기대감",optimistic,한국경제,경제지,기준금리,2020-03-05
d5a915edfc24,"코스피, 美 금리인상 우려 완화…2,050선 반등",optimistic,한국경제TV,경제지,기준금리,2016-09-05
3af7078ad963,"네오시스템즈, 반도체 장비社에 FTMS시스템 제공…통관 업무 지원",neutral,매일경제,경제지,반도체_수출,2019-03-05
39bbcd36ffa4,"경제학자 10명중 8명 ""文정부 정책이 수도권 집값 폭등 유발""",alarmist,서울경제,경제지,부동산가격,2020-08-31
60df39d6b25f,현대자동차·현대중공업 노조 파업 장기화…'블랙홀' 된 울산 경제,alarmist,한국경제,경제지,수출입동향,2016-08-24
6ff7c4aef414,1%대 물가상승률에도 뛰는 체감물가…주범은 먹거리값,defensive,연합뉴스TV,통신사/방송,물가_인상,2019-02-25
789eb6ae7df3,"日, 올 2분기 실질 GDP 0.4%↑…3개 분기 연속 성장",optimistic,SBS,통신사/방송,GDP_성장률,2019-08-09
c44bc5e3f377,6월 경상수지 58.7억달러 흑자…하반기 불투명,optimistic,서울경제TV,경제지,경상수지,
3f51a0519781,"한은 ""치솟은 환율, 올 하반기 물가 끌어올린다""",alarmist,연합뉴스,통신사/방송,물가_인상,2025-02-27
147f0f1afea4,3대 물가지표 일제히 뛴다고 속지마라? “인플레 아닌 리플레”,neutral,중앙일보,보수,소비자물가,2021-02-24
3659b0b94b50,"산업통상부·관세청, 1~20일 수출입 동향",neutral,한국경제,경제지,수출입동향,2025-10-20
2f17037a9a3c,부산 지난달 소비자물가 1.2% 상승,neutral,연합뉴스,통신사/방송,소비자물가,2018-02-01
26e6b70fc1f9,"10년만에 물가상승률 3%대 전망...한은, 추가 금리인상 시사",alarmist,한국경제TV,경제지,물가_인상,2022-02-24
ce11da022640,정보통신기술 수출액 195억달러…역대 7월 최고 기록,optimistic,연합뉴스,통신사/방송,반도체_수출,2021-08-12
59357fc118fd,8월 전국 주택 매매·전세 다 올랐다,neutral,매일경제,경제지,경기침체,2017-08-31
a05bf699b4a4,韓성장률 2년 연속 OECD 10위권…이제는 '성장 중진국',comparative,연합뉴스,통신사/방송,GDP_성장률,2017-03-05
71484a4608c3,줄어든 美소비…경기침체 우려할 수준은 아냐,defensive,매일경제,경제지,경기침체,2020-08-14
c0a374a7f006,2분기 성장률 -3.2%…금융위기 이래 최저,alarmist,연합뉴스TV,통신사/방송,GDP_성장률,2020-09-01
b23b0513af91,2월 소비자물가 2% 상승,neutral,연합뉴스,통신사/방송,소비자물가,2026-03-06
82f5221919ca,'내집마련 디딤돌대출'금리 12일부터 0.2%P↓…최저 1.6%,optimistic,연합뉴스,통신사/방송,기준금리,2016-09-05
5691a67dc925,"예대율 턱밑까지 찬 금융권, 대출영업 몸사리기",alarmist,서울경제,경제지,가계부채,2019-09-03
8dee684abbbb,ECB '양적완화 축소' 우려에 글로벌 국채가격 '뚝',pessimistic,연합뉴스,통신사/방송,국채_금리,2017-07-07
5c2e68482d0c,'발작' 3년만기 국채 3.6% 재돌파…대출금리 더 오를 일만,alarmist,SBS Biz,경제지,국채_금리,2022-08-30
72af3418b32a,가계부채관리 회의 주재하는 최종구 금융위원장,neutral,연합뉴스,통신사/방송,가계부채,2019-01-25
6dbfc1647759,"노원구, 대출금리 인하해 중소기업 육성 지원",neutral,서울경제,경제지,경기침체,2016-09-05
361b1ad232de,인천 1월 수출 50억달러 첫 돌파…일평균 수출액은 감소,defensive,연합뉴스,통신사/방송,수출입동향,2026-02-26
eab790012e06,"뉴욕증시, 금리인상 우려에 하락…다우 0.26%↓",pessimistic,매일경제,경제지,기준금리,2016-08-31
8cb2673b1577,오늘부터 주담대 금리 인하…코로나 대출상환 재연장될 듯,neutral,SBS Biz,경제지,기준금리,2020-08-19
b6c106099424,주담대 금리인하 도미노 하나은행도 0.15%P↓,optimistic,매일경제,경제지,가계부채,2025-03-05
3a9828429d6f,전세계 이목 쏠린 리창의 입…'경제성장률 목표 5%' 지킬까,neutral,서울경제,경제지,GDP_성장률,2024-03-05
748c6688d62a,‘이자 장사’ 성적표 공시에…대출금리 앞다퉈 내리는 은행들,optimistic,동아일보,보수,기준금리,2022-09-04
faac79bb9112,"원/달러 환율 급등해 1,110원 육박",alarmist,연합뉴스,통신사/방송,환율_달러,2021-02-17
cb3912e64422,제조업 고용시장 악화..1월 취업자수 16만명 감소,pessimistic,한국경제TV,경제지,고용동향,2017-02-15
8fb5b3ae3341,“환율 오를 때 팔자” 수출입 기업들 달러 매도···외화예금 사상 최대 규모 축소,pessimistic,서울경제,경제지,수출입동향,2017-07-14
cb3753cdfc9a,英 연구소 “우크라 전쟁으로 세계 성장률 1%p 하락·물가 3%p 인상”,pessimistic,SBS Biz,경제지,GDP_성장률,2022-03-04
bf6e3b8bbbc8,1월 고용동향 살펴보니…최저임금발 영향은 더 지켜봐야,neutral,한겨레,진보,고용동향,2018-02-14
a2e116b4e362,경기 침체 장기화···대기업 이사 보수한도 삭감,pessimistic,매일경제,경제지,경기침체,2024-03-03
3742b6e72a97,美금리 인하에 증권株 웃었다,optimistic,매일경제,경제지,국채_금리,2020-03-04
43a1a515e0a6,추석 앞두고 장바구니 물가 ‘비상’,alarmist,경향신문,진보,소비자물가,2020-09-02
e1e54e2a7474,10월 경상수지 흑자 역대 3위…“연간 목표치 11월에 달성 예상”,optimistic,중앙일보,보수,경상수지,2020-12-04
0467ee2759bc,저성장 터널 갇힌 韓…내년 성장률 1.4%로 떨어질수도,pessimistic,서울경제,경제지,GDP_성장률,2025-08-28
20d68972911e,"옐런, '긴축' 신호…1월 美소비자물가 4년래 최대폭↑",alarmist,SBS Biz,경제지,소비자물가,2017-02-16
62a8988e2525,오늘부터 신용대출·부동산대출 중단한 하나은행,alarmist,연합뉴스,통신사/방송,부동산_대출,2021-10-20
8056266377ba,"월가 거물 ""올해 국채금리 다시 오르고 주식은 하락""",pessimistic,한국경제TV,경제지,국채_금리,2024-02-07
10909517dfde,"가계·기업 부채, 경제 규모 2.2배",alarmist,매일경제TV,경제지,가계부채,
cf0515a667af,日투자 노리던 韓반도체 업계 '화색' AI·빅데이터 등 첨단분야 협력 기회,optimistic,매일경제,경제지,반도체_수출,2023-03-05
17117ab59d25,"""선진국 가운데 첫 금리인상...추가인상 가능성""",neutral,한국경제TV,경제지,물가_인상,2021-08-26
599a8871240d,"이주열 “유가·농수산품 가격 상승, 물가상승률 현재 수준 지속”",neutral,서울경제,경제지,소비자물가,2017-02-15
90af3e781713,"<美민주 전대> 샌더스 공격에 발끈한 트럼프 ""최저임금 최소 10달러로 인상""(종합)",neutral,연합뉴스,통신사/방송,최저임금,2016-07-28
9c26d36d0aa4,"골드만·모건스탠리 ""미 국채 과매도…30년 물가연동채 추천""",neutral,연합뉴스,통신사/방송,국채_금리,2023-08-08
506eb97e05fb,원·달러 환율 한 때 1500원 넘어서…2009년이후 처음,alarmist,한국경제,경제지,환율_달러,2026-03-04
90bea2875672,"미, 삼성·SK 반도체장비 中 반출 통제에…정부 ""영향 최소화되게 협의""",defensive,연합뉴스TV,통신사/방송,반도체_수출,2025-08-29
00b1dbd06b5b,"하이투자 ""미중, 美대선까지 노딜 가능성…경기침체 우려""",pessimistic,연합뉴스,통신사/방송,경기침체,2019-08-26
440dc7afd5b3,장사 안되는데 빚부담 늘고…자영업자 줄었는데 대출 증가,pessimistic,연합뉴스,통신사/방송,부동산_대출,2019-02-04
87c8fe970e04,"UBS ""미국 경기 침체 확률 25%로 상향""",pessimistic,SBS Biz,경제지,경기침체,2024-08-28
81ef03e31fcc,"감정원, 부동산 조사 전문기관 변신",neutral,한국경제,경제지,부동산가격,2016-09-01
e831856e9c52,靑과 갈등·경기 침체·민심 이탈...14년전 이헌재와 닮은 김동연,pessimistic,서울경제,경제지,경기침체,2018-08-10
77bf7c0a815d,원/달러 환율 소폭 하락세…北 리스크에 낙폭 제한,neutral,연합뉴스,통신사/방송,환율_달러,2017-08-30
192ea8b62dbd,“김조원 아파트 시세보다 비싸게 내놨다” 논란…청와대 “남자들은 부동산 잘 몰라”,neutral,중앙일보,보수,부동산가격,2020-08-07
897fb0de6455,6월 경상수지 142.7억 달러 흑자…반도체 등 수출 호조에 역대 최대,optimistic,중앙일보,보수,경상수지,2025-08-07
030e10b1bfd0,브라질 금융시장 '대선 변수'에 또 출렁…헤알화 환율 1.48%↑,alarmist,연합뉴스,통신사/방송,환율_달러,2018-08-29
9da97bc41807,10월 수출입동향 발표,neutral,연합뉴스,통신사/방송,수출입동향,2018-11-01
d256426e343d,원/달러 환율 상승 출발,neutral,연합뉴스,통신사/방송,환율_달러,2020-08-20
70ed4d7b6642,끈적한 물가탓… “美 금리 인하 6월에나”,pessimistic,조선일보,보수,물가_인상,2024-02-22
e5319e1e0693,위안화 하락에 연동…원/달러 환율 강보합,neutral,연합뉴스,통신사/방송,환율_달러,2019-02-11
7650e14cd73d,"감세·경기침체···성장동력, 재정건정성 다놓쳤다···지출 증가 20년 만에 최소",pessimistic,경향신문,진보,경기침체,2023-08-29
18f9ecc06ce7,30분 만에 임금협상 타결…SK이노베이션에 무슨 일이?,neutral,SBS Biz,경제지,소비자물가,2019-03-05
926abf160c2b,부동산 대출규제 넘어 섬세한 시장관리가 필요하다,neutral,한겨레,진보,부동산_대출,2019-12-20
b1619b857e49,1월 소비자물가 2% 올라… 4년 3개월만에 최대폭,alarmist,동아일보,보수,소비자물가,2017-02-03
248aba7bf3d9,7월 ICT 수출 185.6억달러로 18.2%↑…20개월 연속 증가,optimistic,연합뉴스,통신사/방송,반도체_수출,2018-08-16
ec1c8ffb3035,지난해 보이스피싱 피해액 사상 최대 기록…4400억원 달해,alarmist,SBS Biz,경제지,경기침체,2019-02-28
817c5542ffe1,"문 대통령 부동산가격 상승, 가상화폐 문제 언급하지 않은 이유",neutral,경향신문,진보,부동산가격,2018-01-15
27171ec7122e,'골디락스' 가까워지는 美…성장률 전망 1.3%→2.2%로 상향,optimistic,한국경제,경제지,GDP_성장률,2024-02-27
82c63f85a8d8,美증시 하락 반전 이유...美 10년물 국채 입찰 수요 올해 최저,pessimistic,한국경제TV,경제지,국채_금리,2024-08-08
b878eab8b854,코로나19 확산세 주시…원/달러 환율 강보합 출발,neutral,연합뉴스,통신사/방송,환율_달러,2020-08-28
652755f6f7d0,원유ㆍ돼지고기 수입가 '껑충'…소비자물가 더 뛴다,alarmist,연합뉴스TV,통신사/방송,소비자물가,2017-02-14
30ec79977a4d,일본 작년 경상수지 298조원 흑자…전년比 11%↑ '사상 최대',optimistic,SBS Biz,경제지,경상수지,2026-02-09
7114c3405600,대전 충남 가계·자영업자 부채 증가율 전국 평균보다 크게 높아,comparative,연합뉴스,통신사/방송,가계부채,2018-06-26
91547838cfb1,2025년 11월 수출입 동향은,neutral,연합뉴스,통신사/방송,수출입동향,2025-12-01
f6d1cd8600bf,인천 결식아동 급식단가 7천원으로 인상…서울·경기와 동일,neutral,연합뉴스,통신사/방송,물가_인상,2021-08-31
0b9599501313,확산되는 경기 침체론…“2년 안에 침체 온다”,alarmist,SBS Biz,경제지,경기침체,2018-02-23
8ad376ade5f9,"경총 ""최저임금법 시행령 개정 반대…현행 유지해야""",neutral,연합뉴스,통신사/방송,최저임금,2018-08-27
5b232d86421c,"""부동산 대출 쏠림현상""…P2P금융상품 소비자경보 발령",alarmist,연합뉴스,통신사/방송,부동산_대출,2019-11-06
47abe168e0a3,"바이든, 반도체·배터리 공급망 검토 지시…한국도 영향 받나",neutral,연합뉴스,통신사/방송,반도체_수출,2021-02-25
19fdaacd4bfb,8월 수출입동향관련 브리핑,neutral,연합뉴스,통신사/방송,수출입동향,2017-09-01
c06035f9eb4e,수출 급감 '발등의 불'…재정·마케팅 총력 지원,alarmist,한국경제TV,경제지,반도체_수출,2019-03-04
bfc0a29567c0,韓도 이젠 GDP 비중 소비>수출인데…폭우·폭염 '악재' 겹겹,pessimistic,중앙일보,보수,GDP_성장률,2023-08-10
0ce4487425b4,"한총리 ""경상수지 흑자…녹록지 않지만 염려할 상황 아냐""",defensive,연합뉴스,통신사/방송,경상수지,2022-08-05
af3bce11a9f7,中 국유은행 신규대출 절반 '부동산 대출',neutral,서울경제,경제지,부동산_대출,2019-04-07
5becd0df1e3b,준비 안 된 최저임금 한일 역전시대,comparative,동아일보,보수,최저임금,2022-08-31
63044066c6bf,분양보증 예비심사 도입,neutral,한국경제,경제지,가계부채,2016-08-25
d4b06436f4ab,'세수펑크'·'빚투·영끌'에…나라·가계빚 첫 3000조 넘어섰다,alarmist,한국경제,경제지,가계부채,2024-08-25
36b5497ac158,중동 사태 여파로 치솟는 원/달러 환율,alarmist,연합뉴스,통신사/방송,환율_달러,2026-03-04
7b77bcd63c55,폭염·폭우에 7월 물가 어땠나…美관세 영향 경상수지도 주목,neutral,서울경제,경제지,경상수지,2025-08-03
70ea2a931d1b,PF 부실 '비상'…농·신협 부동산 대출 옥죈다,alarmist,한국경제,경제지,부동산_대출,2024-02-21
059e77dd7ce4,中 구이저우마오타이 출고가 인상에도 '비틀',pessimistic,한국경제,경제지,물가_인상,2024-02-29
5bdf939c6b31,경찰 '장하성 펀드' 장하원 대표 소환,neutral,한국경제,경제지,부동산_대출,2022-02-09
182488b46c83,고강도 '8ㆍ2 부동산 대책'…집 살까? 팔까?,neutral,연합뉴스TV,통신사/방송,부동산가격,2017-08-04
85404c797ec5,"16년 만에 新 국채선물...""금리 변동 리스크 줄인다”",neutral,한국경제TV,경제지,국채_금리,2024-02-19
8beb01b83ad7,"김동연 ""최저임금, 고용에 일부 부정적 영향""(종합)",pessimistic,연합뉴스,통신사/방송,최저임금,2018-08-28
41cf490f37c1,"""일용직 고용감소, 76%는 최저임금 탓""",pessimistic,매일경제,경제지,최저임금,2019-02-15
583c32a8eeac,"대신증권 ""美규제완화, 국내 은행업종 수혜 제한적""",neutral,연합뉴스,통신사/방송,부동산_대출,2017-02-20
c5ddb817949b,'단 9분 연설'…파월 말 한마디에 7000조 날아갔다,alarmist,한국경제,경제지,국채_금리,2022-09-04
79ff8c7f48c2,6월 경상수지 142.7억달러…반도체 등 수출 호조에 역대 최대 흑자,optimistic,조선일보,보수,경상수지,2025-08-07
308589f09d3a,"RE100 15년 뒤처진 한국, 반도체·AI 산업 타격 받나",pessimistic,한국경제,경제지,반도체_수출,2024-09-05
b550edf7a495,강남맘 판교로 간 이유는…,neutral,한국경제,경제지,부동산가격,2016-09-01
cabea49933b5,소비 회복·수출 호조…2분기 경제 성장률 0.7%,optimistic,SBS,통신사/방송,GDP_성장률,2025-09-03
ea4955fe9dd5,"원·달러 환율 하락…1,118.5원(-0.6원)",neutral,한국경제,경제지,환율_달러,2019-02-28
86129bffec11,"""신용대출 늘어난다"" 지적에…금융위, 은행에 '구두 경고'",neutral,한국경제,경제지,가계부채,2020-08-19
0f6bc611b97e,"구윤철 ""기름값 인상은 민생 좀 먹는 행위…행정조치 모두 활용""",neutral,한국경제,경제지,물가_인상,2026-03-05
aca5abd61d1b,2월 1∼20일 수출 13.1% 증가…일평균 기준 17.2%↑(종합),optimistic,연합뉴스,통신사/방송,반도체_수출,2022-02-21
61cb085fa0f7,IMF 20년…경상수지·외환보유액 좋아도 새로운 위기 우려,defensive,한겨레,진보,경상수지,2017-11-21
ff6038ba7fb4,IT부품주 왜 맥못추나…원화강세로 수출부진,pessimistic,매일경제,경제지,반도체_수출,2016-08-21
e39f5f2b519f,다음주 경제지표 줄줄이…3분기 성장률·물가·경상수지,neutral,연합뉴스,통신사/방송,경상수지,2018-12-01
25b8f30576ba,"원·달러 환율, 전 거래일 대비 4.2원 내린 1,121.0원 마감",neutral,서울경제,경제지,환율_달러,2019-02-25
c6f1ec30b802,미국 1월 소비자물가 0.3%↑…석달 연속 상승,neutral,연합뉴스,통신사/방송,소비자물가,2021-02-10
08bb129aafca,"반도체 前 공정의 핵심, 증착장비 세계 첫 개발…누적 R&D 투자 1조원",optimistic,한국경제,경제지,반도체_수출,2020-08-25
f9c8ab5e56a1,8월 1~20일 수출 13.3% 감소…對일본 13.1%↓(종합),pessimistic,연합뉴스,통신사/방송,반도체_수출,2019-08-21
9e886efae6c6,"AI에 쓸모 잃은 인간, 섬뜩한 무용계급론",alarmist,동아일보,보수,고용동향,2026-03-02
